Hidden Layers: [4, 8], Activation: sigmoid, Epochs: 250, LR: 10, Batch Size: 512, Test Loss: 2.2779
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 16, Test Loss: 0.9398
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 32, Test Loss: 0.8799
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 64, Test Loss: 0.9420
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 128, Test Loss: 0.9990
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 256, Test Loss: 1.0730
Hidden Layers: [4, 8], Activation: relu, Epochs: 10, LR: 0.0001, Batch Size: 512, Test Loss: 0.9987
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 16, Test Loss: 1.0432
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 32, Test Loss: 0.9986
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 64, Test Loss: 0.9895
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 128, Test Loss: 0.9997
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 256, Test Loss: 5.6929
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 10, Batch Size: 512, Test Loss: 155.4880
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 16, Test Loss: 1.0415
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 32, Test Loss: 1.0063
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 64, Test Loss: 0.9901
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 128, Test Loss: 1.0254
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 256, Test Loss: 1.0018
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 1, Batch Size: 512, Test Loss: 0.9994
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 16, Test Loss: 0.8194
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 32, Test Loss: 0.8601
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 64, Test Loss: 0.7155
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 128, Test Loss: 0.6885
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 256, Test Loss: 0.6705
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.1, Batch Size: 512, Test Loss: 0.6710
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 16, Test Loss: 0.6685
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 32, Test Loss: 0.6533
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 64, Test Loss: 0.6788
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 128, Test Loss: 0.6738
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 256, Test Loss: 0.6793
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.01, Batch Size: 512, Test Loss: 0.6797
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 16, Test Loss: 0.6832
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 32, Test Loss: 0.6778
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 64, Test Loss: 0.7024
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 128, Test Loss: 0.6775
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 256, Test Loss: 0.6902
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.001, Batch Size: 512, Test Loss: 0.7783
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 16, Test Loss: 0.7621
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 32, Test Loss: 0.8000
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 64, Test Loss: 0.7751
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 128, Test Loss: 0.9857
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 256, Test Loss: 1.1066
Hidden Layers: [4, 8], Activation: relu, Epochs: 25, LR: 0.0001, Batch Size: 512, Test Loss: 0.9705
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 16, Test Loss: 1.1124
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 32, Test Loss: 0.9985
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 64, Test Loss: 0.9894
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 128, Test Loss: 0.9999
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 256, Test Loss: 1.0019
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 10, Batch Size: 512, Test Loss: 41.5261
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 16, Test Loss: 1.0074
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 32, Test Loss: 1.0206
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 64, Test Loss: 0.9953
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 128, Test Loss: 1.0398
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 256, Test Loss: 1.0036
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 1, Batch Size: 512, Test Loss: 5.4510
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 16, Test Loss: 0.8247
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 32, Test Loss: 0.7381
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 64, Test Loss: 0.7076
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 128, Test Loss: 0.6745
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 256, Test Loss: 0.6835
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.1, Batch Size: 512, Test Loss: 0.7130
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 16, Test Loss: 0.6848
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 32, Test Loss: 0.6719
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 64, Test Loss: 0.6665
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 128, Test Loss: 0.6518
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 256, Test Loss: 0.6401
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.01, Batch Size: 512, Test Loss: 0.6627
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 16, Test Loss: 0.6784
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 32, Test Loss: 0.6509
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 64, Test Loss: 0.6627
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 128, Test Loss: 0.6781
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 256, Test Loss: 0.7396
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.001, Batch Size: 512, Test Loss: 0.6996
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 16, Test Loss: 0.7201
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 32, Test Loss: 0.7524
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 64, Test Loss: 0.7615
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 128, Test Loss: 0.8250
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 256, Test Loss: 0.8710
Hidden Layers: [4, 8], Activation: relu, Epochs: 50, LR: 0.0001, Batch Size: 512, Test Loss: 0.9906
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 16, Test Loss: 1.0907
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 32, Test Loss: 1.1153
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 64, Test Loss: 1.0292
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 128, Test Loss: 1.0001
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 256, Test Loss: 1.0014
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 10, Batch Size: 512, Test Loss: 0.9994
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 16, Test Loss: 1.0487
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 32, Test Loss: 1.2012
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 64, Test Loss: 1.2325
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 128, Test Loss: 0.8975
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 256, Test Loss: 1.0048
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 1, Batch Size: 512, Test Loss: 0.9994
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 16, Test Loss: 0.8503
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 32, Test Loss: 0.7605
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 64, Test Loss: 0.8088
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 128, Test Loss: 0.6879
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 256, Test Loss: 0.7234
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.1, Batch Size: 512, Test Loss: 0.6877
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 16, Test Loss: 0.6832
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 32, Test Loss: 0.6566
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 64, Test Loss: 0.6483
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 128, Test Loss: 0.6659
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 256, Test Loss: 0.6592
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.01, Batch Size: 512, Test Loss: 0.6752
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 16, Test Loss: 0.6669
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 32, Test Loss: 0.6450
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 64, Test Loss: 0.6512
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 128, Test Loss: 0.6897
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 256, Test Loss: 0.6706
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.001, Batch Size: 512, Test Loss: 0.6659
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 16, Test Loss: 0.7221
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 32, Test Loss: 0.7141
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 64, Test Loss: 0.7127
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 128, Test Loss: 0.7448
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 256, Test Loss: 0.8313
Hidden Layers: [4, 8], Activation: relu, Epochs: 100, LR: 0.0001, Batch Size: 512, Test Loss: 0.9507
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 16, Test Loss: 87.3747
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 32, Test Loss: 1.1633
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 64, Test Loss: 1.0997
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 128, Test Loss: 1.2792
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 256, Test Loss: 1.0511
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 10, Batch Size: 512, Test Loss: 0.9995
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 16, Test Loss: 1.1106
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 32, Test Loss: 1.1415
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 64, Test Loss: 1.1545
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 128, Test Loss: 1.0038
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 256, Test Loss: 0.8271
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 1, Batch Size: 512, Test Loss: 0.9995
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 16, Test Loss: 0.9946
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 32, Test Loss: 0.7453
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 64, Test Loss: 0.6726
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 128, Test Loss: 0.6958
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 256, Test Loss: 0.6924
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.1, Batch Size: 512, Test Loss: 0.6881
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 16, Test Loss: 0.6759
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 32, Test Loss: 0.6617
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 64, Test Loss: 0.6783
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 128, Test Loss: 0.6726
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 256, Test Loss: 0.6857
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.01, Batch Size: 512, Test Loss: 0.6556
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.001, Batch Size: 16, Test Loss: 0.6655
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.001, Batch Size: 32, Test Loss: 0.6546
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.001, Batch Size: 64, Test Loss: 0.6460
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.001, Batch Size: 128, Test Loss: 0.6431
Hidden Layers: [4, 8], Activation: relu, Epochs: 250, LR: 0.001, Batch Size: 256, Test Loss: 0.6632
